User,Action,Article,Day,Origin
0,read,1192,1,
26,received,1192,1,0
26,read,1192,1,0
26,received,1651,1,84
26,read,1651,1,84
26,received,1523,6,48
26,read,1523,6,48
33,received,1192,1,0
33,read,1192,1,0
33,received,1172,1,4
33,read,1172,1,4
33,received,1651,1,91
33,read,1651,1,91
57,received,1192,1,0
57,read,1192,1,0
57,received,281,1,54
57,read,281,1,54
57,received,326,1,75
57,read,326,1,75
57,received,1103,2,10
57,read,1103,2,10
57,received,1343,3,9
57,read,1343,3,9
39,received,1192,1,0
39,read,1192,1,0
39,received,326,1,75
39,read,326,1,75
39,received,1120,1,93
39,read,1120,1,93
39,received,44,1,94
39,read,44,1,94
39,received,835,3,45
39,read,835,3,45
56,received,1192,1,0
56,read,1192,1,0
56,received,563,1,22
56,read,563,1,22
56,received,1120,1,93
56,read,1120,1,93
74,received,1192,1,0
74,read,1192,1,0
74,received,1120,1,93
74,read,1120,1,93
4,read,1172,1,
1,received,1172,1,4
1,read,1172,1,4
1,received,1651,1,84
1,read,1651,1,84
1,received,202,2,24
1,read,202,2,24
86,received,1172,1,4
86,read,1172,1,4
86,received,1752,3,68
86,read,1752,3,68
66,received,1172,1,4
66,read,1172,1,4
66,received,281,1,54
66,read,281,1,54
66,received,1651,1,91
66,read,1651,1,91
66,received,1120,1,93
66,read,1120,1,93
66,received,44,1,94
66,read,44,1,94
66,received,202,2,24
66,read,202,2,24
92,received,1172,1,4
92,read,1172,1,4
92,received,2001,1,5
92,read,2001,1,5
92,received,986,1,21
92,read,986,1,21
92,received,1788,1,23
92,read,1788,1,23
92,received,1651,1,84
92,read,1651,1,84
92,received,1103,2,10
92,read,1103,2,10
88,received,1172,1,4
88,read,1172,1,4
88,received,563,1,22
88,read,563,1,22
88,received,1221,1,43
88,read,1221,1,43
88,received,281,1,54
88,read,281,1,54
88,received,1096,1,58
88,read,1096,1,58
25,received,1172,1,4
25,read,1172,1,4
25,received,1788,1,23
25,read,1788,1,23
25,received,187,1,36
25,read,187,1,36
25,received,1096,1,58
25,read,1096,1,58
25,received,326,1,75
25,read,326,1,75
25,received,443,1,77
25,read,443,1,77
60,received,1172,1,4
60,read,1172,1,4
81,received,1172,1,4
81,read,1172,1,4
81,received,2001,1,5
81,read,2001,1,5
81,received,1788,1,23
81,read,1788,1,23
81,received,1221,1,43
81,read,1221,1,43
81,received,1997,1,62
81,read,1997,1,62
81,received,44,1,94
81,read,44,1,94
82,received,1172,1,4
82,read,1172,1,4
82,received,1533,1,12
82,read,1533,1,12
82,received,281,1,54
82,read,281,1,54
82,received,1343,3,9
82,read,1343,3,9
98,received,1172,1,4
98,read,1172,1,4
98,received,1788,1,23
98,read,1788,1,23
98,received,1952,1,76
98,read,1952,1,76
98,received,44,1,94
98,read,44,1,94
5,read,2001,1,
6,received,2001,1,5
6,read,2001,1,5
6,received,1477,1,8
6,read,1477,1,8
6,received,1221,1,43
6,read,1221,1,43
6,received,1096,1,58
6,read,1096,1,58
6,received,835,3,45
6,read,835,3,45
53,received,2001,1,5
53,read,2001,1,5
53,received,1700,1,16
53,read,1700,1,16
53,received,281,1,54
53,read,281,1,54
53,received,1120,1,93
53,read,1120,1,93
53,received,1523,6,48
53,read,1523,6,48
7,received,2001,1,5
7,read,2001,1,5
7,received,835,3,45
7,read,835,3,45
95,received,2001,1,5
95,read,2001,1,5
95,received,1477,1,8
95,read,1477,1,8
95,received,187,1,36
95,read,187,1,36
95,received,1752,3,68
95,read,1752,3,68
32,received,2001,1,5
32,read,2001,1,5
32,received,1477,1,8
32,read,1477,1,8
32,received,44,1,94
32,read,44,1,94
32,received,1752,3,68
32,read,1752,3,68
35,received,2001,1,5
35,read,2001,1,5
35,received,187,1,36
35,read,187,1,36
35,received,443,1,77
35,read,443,1,77
35,received,1120,1,93
35,read,1120,1,93
35,received,1523,6,48
35,read,1523,6,48
73,received,2001,1,5
73,read,2001,1,5
73,received,1221,1,43
73,read,1221,1,43
73,received,1523,6,48
73,read,1523,6,48
87,received,2001,1,5
87,read,2001,1,5
87,received,563,1,22
87,read,563,1,22
87,received,1343,3,9
87,read,1343,3,9
8,read,1477,1,
63,received,1477,1,8
63,read,1477,1,8
63,received,187,1,36
63,read,187,1,36
63,received,281,1,54
63,read,281,1,54
63,received,1096,1,58
63,read,1096,1,58
78,received,1477,1,8
78,read,1477,1,8
78,received,563,1,22
78,read,563,1,22
78,received,1651,1,91
78,read,1651,1,91
78,received,1120,1,93
78,read,1120,1,93
11,received,1477,1,8
11,read,1477,1,8
11,received,1096,1,58
11,read,1096,1,58
11,received,1651,1,84
11,read,1651,1,84
11,received,1103,2,10
11,read,1103,2,10
19,received,1477,1,8
19,read,1477,1,8
19,received,1120,1,93
19,read,1120,1,93
19,received,1752,3,68
19,read,1752,3,68
46,received,1477,1,8
46,read,1477,1,8
46,received,986,1,21
46,read,986,1,21
46,received,443,1,77
46,read,443,1,77
50,received,1477,1,8
50,read,1477,1,8
50,received,563,1,22
50,read,563,1,22
50,received,1952,1,76
50,read,1952,1,76
59,received,1477,1,8
59,read,1477,1,8
59,received,1533,1,12
59,read,1533,1,12
59,received,202,2,24
59,read,202,2,24
65,received,1477,1,8
65,read,1477,1,8
65,received,1752,3,68
65,read,1752,3,68
12,read,1533,1,
13,received,1533,1,12
13,read,1533,1,12
13,received,1096,1,58
13,read,1096,1,58
13,received,1952,1,76
13,read,1952,1,76
13,received,1651,1,91
13,read,1651,1,91
13,received,1343,3,9
13,read,1343,3,9
70,received,1533,1,12
70,read,1533,1,12
70,received,326,1,75
70,read,326,1,75
70,received,443,1,77
70,read,443,1,77
70,received,1120,1,93
70,read,1120,1,93
20,received,1533,1,12
20,read,1533,1,12
20,received,1788,1,23
20,read,1788,1,23
40,received,1533,1,12
40,read,1533,1,12
40,received,1096,1,58
40,read,1096,1,58
40,received,1343,3,9
40,read,1343,3,9
14,received,1533,1,12
14,read,1533,1,12
18,received,1533,1,12
18,read,1533,1,12
18,received,187,1,36
18,read,187,1,36
18,received,44,1,94
18,read,44,1,94
16,read,1700,1,
37,received,1700,1,16
37,read,1700,1,16
37,received,326,1,75
37,read,326,1,75
37,received,1523,6,48
37,read,1523,6,48
3,received,1700,1,16
3,read,1700,1,16
3,received,1952,1,76
3,read,1952,1,76
3,received,1651,1,84
3,read,1651,1,84
3,received,1120,1,93
3,read,1120,1,93
15,received,1700,1,16
15,read,1700,1,16
15,received,986,1,21
15,read,986,1,21
15,received,563,1,22
15,read,563,1,22
15,received,1120,1,93
15,read,1120,1,93
64,received,1700,1,16
64,read,1700,1,16
64,received,326,1,75
64,read,326,1,75
64,received,443,1,77
64,read,443,1,77
64,received,835,3,45
64,read,835,3,45
30,received,1700,1,16
30,read,1700,1,16
30,received,1952,1,76
30,read,1952,1,76
31,received,1700,1,16
31,read,1700,1,16
31,received,986,1,21
31,read,986,1,21
31,received,1752,3,68
31,read,1752,3,68
79,received,1700,1,16
79,read,1700,1,16
79,received,563,1,22
79,read,563,1,22
79,received,326,1,75
79,read,326,1,75
79,received,44,1,94
79,read,44,1,94
21,read,986,1,
69,received,986,1,21
69,read,986,1,21
69,received,44,1,94
69,read,44,1,94
69,received,1103,2,10
69,read,1103,2,10
28,received,986,1,21
28,read,986,1,21
28,received,563,1,22
28,read,563,1,22
28,received,187,1,36
28,read,187,1,36
28,received,1120,1,93
28,read,1120,1,93
55,received,986,1,21
55,read,986,1,21
55,received,1788,1,23
55,read,1788,1,23
55,received,187,1,36
55,read,187,1,36
55,received,281,1,54
55,read,281,1,54
55,received,1997,1,62
55,read,1997,1,62
55,received,443,1,77
55,read,443,1,77
55,received,1343,3,9
55,read,1343,3,9
55,received,1752,3,68
55,read,1752,3,68
34,received,986,1,21
34,read,986,1,21
34,received,202,2,24
34,read,202,2,24
34,received,835,3,45
34,read,835,3,45
42,received,986,1,21
42,read,986,1,21
42,received,1096,1,58
42,read,1096,1,58
42,received,1997,1,62
42,read,1997,1,62
42,received,326,1,75
42,read,326,1,75
42,received,1120,1,93
42,read,1120,1,93
