User,Action,Article,Day,Origin
0,read,1643,1,
0,received,970,1,1
0,read,970,1,1
0,received,634,1,2
0,read,634,1,2
0,received,1822,1,3
0,read,1822,1,3
0,received,523,1,13
0,read,523,1,13
0,received,1942,1,15
0,read,1942,1,15
0,received,1503,1,18
0,read,1503,1,18
0,received,457,1,22
0,read,457,1,22
0,read,2039,2,
0,received,383,2,1
0,read,383,2,1
0,received,1961,2,3
0,read,1961,2,3
0,received,278,2,13
0,read,278,2,13
0,received,1915,2,16
0,read,1915,2,16
0,received,1039,2,18
0,read,1039,2,18
0,received,1626,2,23
0,read,1626,2,23
0,read,1340,3,
0,received,1489,3,1
0,read,1489,3,1
0,received,563,3,3
0,read,563,3,3
0,received,1784,3,8
0,read,1784,3,8
0,received,1372,3,15
0,read,1372,3,15
0,received,689,3,18
0,read,689,3,18
0,received,131,3,22
0,read,131,3,22
0,received,502,3,23
0,read,502,3,23
0,read,1534,4,
0,received,1630,4,1
0,read,1630,4,1
0,received,1312,4,2
0,read,1312,4,2
0,received,1173,4,15
0,read,1173,4,15
0,received,896,4,23
0,read,896,4,23
0,read,702,5,
0,received,1958,5,16
0,read,1958,5,16
0,received,64,5,21
0,read,64,5,21
0,received,121,6,1
0,read,121,6,1
0,received,197,6,13
0,read,197,6,13
0,received,2015,6,21
0,read,2015,6,21
0,received,772,7,1
0,read,772,7,1
0,received,1335,7,13
0,read,1335,7,13
0,received,1203,7,15
0,read,1203,7,15
0,received,407,7,18
0,read,407,7,18
0,received,916,7,21
0,read,916,7,21
0,received,1143,7,23
0,read,1143,7,23
0,read,1795,8,
0,received,617,8,1
0,read,617,8,1
0,received,1605,8,2
0,read,1605,8,2
0,received,1022,8,3
0,read,1022,8,3
0,received,1634,8,8
0,read,1634,8,8
0,received,430,8,13
0,read,430,8,13
0,received,1456,8,15
0,read,1456,8,15
0,received,895,8,21
0,read,895,8,21
0,received,804,8,23
0,read,804,8,23
0,read,1384,9,
0,received,700,9,3
0,read,700,9,3
0,received,1946,9,13
0,read,1946,9,13
0,received,1677,9,15
0,read,1677,9,15
0,received,1551,9,18
0,read,1551,9,18
0,received,1411,9,21
0,read,1411,9,21
0,received,2034,9,22
0,read,2034,9,22
0,received,681,10,8
0,read,681,10,8
0,received,621,10,13
0,read,621,10,13
0,received,806,10,15
0,read,806,10,15
0,received,303,10,18
0,read,303,10,18
0,received,580,10,21
0,read,580,10,21
0,received,1393,10,22
0,read,1393,10,22
0,received,1061,10,23
0,read,1061,10,23
0,received,875,11,1
0,read,875,11,1
0,received,88,11,2
0,read,88,11,2
0,received,1553,11,15
0,read,1553,11,15
0,received,356,11,21
0,read,356,11,21
0,received,1323,11,22
0,read,1323,11,22
0,received,1927,11,23
0,read,1927,11,23
0,read,97,12,
0,received,685,12,1
0,read,685,12,1
0,received,1851,12,3
0,read,1851,12,3
0,received,82,12,16
0,read,82,12,16
0,received,475,12,18
0,read,475,12,18
0,received,1439,13,2
0,read,1439,13,2
0,received,622,13,18
0,read,622,13,18
0,received,1674,13,21
0,read,1674,13,21
0,read,997,14,
0,received,55,14,2
0,read,55,14,2
0,received,1711,14,3
0,read,1711,14,3
0,received,996,14,13
0,read,996,14,13
0,received,53,14,21
0,read,53,14,21
0,received,1695,14,23
0,read,1695,14,23
0,read,1473,15,
0,received,975,15,3
0,read,975,15,3
0,received,264,15,15
0,read,264,15,15
0,received,1404,15,16
0,read,1404,15,16
0,received,1080,15,21
0,read,1080,15,21
0,received,1389,15,22
0,read,1389,15,22
0,received,1738,15,23
0,read,1738,15,23
0,read,452,16,
0,received,74,16,1
0,read,74,16,1
0,received,307,16,2
0,read,307,16,2
0,received,432,16,3
0,read,432,16,3
0,received,1,16,8
0,read,1,16,8
0,received,1381,16,15
0,read,1381,16,15
0,received,4,16,18
0,read,4,16,18
0,received,1414,16,22
0,read,1414,16,22
0,received,1101,16,23
0,read,1101,16,23
0,read,852,17,
0,received,950,17,15
0,read,950,17,15
0,received,658,17,16
0,read,658,17,16
0,received,967,17,22
0,read,967,17,22
0,received,1965,17,26
0,read,1965,17,26
0,read,49,18,
0,received,918,18,1
0,read,918,18,1
0,received,933,18,2
0,read,933,18,2
0,received,1070,18,3
0,read,1070,18,3
0,received,1330,18,8
0,read,1330,18,8
0,received,2008,18,15
0,read,2008,18,15
0,received,1395,18,16
0,read,1395,18,16
0,received,840,18,21
0,read,840,18,21
0,received,684,18,22
0,read,684,18,22
0,received,1780,18,23
0,read,1780,18,23
0,received,1226,19,3
0,read,1226,19,3
0,received,1344,19,15
0,read,1344,19,15
0,received,1097,19,16
0,read,1097,19,16
0,received,341,19,18
0,read,341,19,18
0,received,147,19,23
0,read,147,19,23
0,read,265,20,
0,received,1523,20,1
0,read,1523,20,1
0,received,1364,20,2
0,read,1364,20,2
0,received,1168,20,15
0,read,1168,20,15
0,received,980,20,18
0,read,980,20,18
0,received,260,20,21
0,read,260,20,21
0,received,1242,20,22
0,read,1242,20,22
0,read,1004,21,
0,received,1290,21,8
0,read,1290,21,8
0,received,289,21,15
0,read,289,21,15
0,received,374,21,16
0,read,374,21,16
0,received,71,21,21
0,read,71,21,21
0,received,823,21,22
0,read,823,21,22
0,received,1967,21,23
0,read,1967,21,23
0,received,438,21,26
0,read,438,21,26
0,read,1669,22,
0,received,149,22,8
0,read,149,22,8
0,received,521,22,13
0,read,521,22,13
0,received,1299,22,18
0,read,1299,22,18
0,received,23,22,21
0,read,23,22,21
0,received,492,22,22
0,read,492,22,22
0,received,1091,22,23
0,read,1091,22,23
0,read,1600,23,
0,received,57,23,2
0,read,57,23,2
0,received,1873,23,13
0,read,1873,23,13
0,received,1236,23,16
0,read,1236,23,16
0,received,1183,23,22
0,read,1183,23,22
0,read,45,24,
0,received,1542,24,2
0,read,1542,24,2
0,received,2027,24,18
0,read,2027,24,18
0,received,1618,24,22
0,read,1618,24,22
0,read,270,25,
0,received,1362,25,2
0,read,1362,25,2
0,received,1327,25,8
0,read,1327,25,8
0,received,1675,25,21
0,read,1675,25,21
0,received,583,25,22
0,read,583,25,22
0,read,898,26,
0,received,468,26,2
0,read,468,26,2
0,received,227,26,3
0,read,227,26,3
0,received,1615,26,8
0,read,1615,26,8
0,received,1783,26,13
0,read,1783,26,13
0,received,1098,26,15
0,read,1098,26,15
0,received,497,26,18
0,read,497,26,18
0,received,661,26,21
0,read,661,26,21
0,received,104,26,22
0,read,104,26,22
0,received,1130,26,23
0,read,1130,26,23
0,received,1233,27,2
0,read,1233,27,2
0,received,828,27,3
0,read,828,27,3
0,received,1322,27,15
0,read,1322,27,15
0,received,544,27,16
0,read,544,27,16
0,received,598,27,22
0,read,598,27,22
0,read,1313,28,
0,received,419,28,2
0,read,419,28,2
0,received,491,28,3
0,read,491,28,3
0,received,1311,28,13
0,read,1311,28,13
0,received,2,28,16
0,read,2,28,16
0,received,153,28,21
0,read,153,28,21
0,received,479,28,22
0,read,479,28,22
0,received,596,29,1
0,read,596,29,1
0,received,1431,29,15
0,read,1431,29,15
0,received,166,29,26
0,read,166,29,26
0,read,66,30,
0,received,1878,30,16
0,read,1878,30,16
0,received,1905,30,18
0,read,1905,30,18
0,received,60,30,23
0,read,60,30,23
0,received,1903,30,26
0,read,1903,30,26
8,received,1643,1,0
8,read,1643,1,0
8,received,1822,1,3
8,read,1822,1,3
8,received,1525,1,6
8,read,1525,1,6
8,received,1378,1,12
8,read,1378,1,12
8,received,1763,1,20
8,read,1763,1,20
8,received,1110,1,24
8,read,1110,1,24
8,received,612,1,27
8,read,612,1,27
8,received,2039,2,0
8,read,2039,2,0
8,received,1961,2,3
8,read,1961,2,3
8,received,1450,2,6
8,read,1450,2,6
8,read,1837,2,
8,received,1119,2,9
8,read,1119,2,9
8,received,816,2,21
8,read,816,2,21
8,received,1024,2,24
8,read,1024,2,24
8,received,1760,2,27
8,read,1760,2,27
8,received,1340,3,0
8,read,1340,3,0
8,received,563,3,3
8,read,563,3,3
8,received,1835,3,6
8,read,1835,3,6
8,read,1784,3,
8,received,1207,3,20
8,read,1207,3,20
8,received,1534,4,0
8,read,1534,4,0
8,received,850,4,9
8,read,850,4,9
8,received,1288,4,12
8,read,1288,4,12
8,received,1950,4,20
8,read,1950,4,20
8,received,1508,4,24
8,read,1508,4,24
8,received,1063,4,27
8,read,1063,4,27
8,received,702,5,0
8,read,702,5,0
8,received,970,5,3
8,read,970,5,3
8,received,282,5,5
8,read,282,5,5
8,received,719,5,9
8,read,719,5,9
8,received,518,5,20
8,read,518,5,20
8,received,64,5,21
8,read,64,5,21
8,received,270,6,5
8,read,270,6,5
8,received,1782,6,20
8,read,1782,6,20
8,received,2015,6,21
8,read,2015,6,21
8,received,921,7,12
8,read,921,7,12
8,received,886,7,20
8,read,886,7,20
8,received,916,7,21
8,read,916,7,21
8,received,1801,7,27
8,read,1801,7,27
8,received,1022,8,3
8,read,1022,8,3
8,received,478,8,5
8,read,478,8,5
8,received,1032,8,6
8,read,1032,8,6
8,read,1634,8,
8,received,1437,8,12
8,read,1437,8,12
8,received,589,8,20
8,read,589,8,20
8,received,895,8,21
8,read,895,8,21
8,received,700,9,3
8,read,700,9,3
8,received,1593,9,9
8,read,1593,9,9
8,received,2001,9,12
8,read,2001,9,12
8,received,56,9,20
8,read,56,9,20
8,received,1411,9,21
8,read,1411,9,21
8,received,1174,9,24
8,read,1174,9,24
8,received,1097,9,27
8,read,1097,9,27
8,received,1016,10,6
8,read,1016,10,6
8,read,681,10,
8,received,1921,10,9
8,read,1921,10,9
8,received,1044,10,12
8,read,1044,10,12
8,received,336,10,20
8,read,336,10,20
8,received,580,10,21
8,read,580,10,21
8,received,1061,10,23
8,read,1061,10,23
8,received,1841,11,6
8,read,1841,11,6
8,received,314,11,9
8,read,314,11,9
8,received,1132,11,12
8,read,1132,11,12
8,received,474,11,20
8,read,474,11,20
8,received,356,11,21
8,read,356,11,21
8,received,97,12,0
8,read,97,12,0
8,received,1851,12,3
8,read,1851,12,3
8,received,765,12,6
8,read,765,12,6
8,received,1543,12,12
8,read,1543,12,12
8,received,1876,12,20
8,read,1876,12,20
8,received,1222,12,24
8,read,1222,12,24
8,received,1762,12,27
8,read,1762,12,27
8,received,248,13,6
8,read,248,13,6
8,received,326,13,9
8,read,326,13,9
8,received,1674,13,21
8,read,1674,13,21
8,received,111,13,27
8,read,111,13,27
8,received,997,14,0
8,read,997,14,0
8,received,1711,14,3
8,read,1711,14,3
8,received,646,14,5
8,read,646,14,5
8,received,1814,14,6
8,read,1814,14,6
8,received,77,14,9
8,read,77,14,9
8,received,409,14,12
8,read,409,14,12
8,received,53,14,21
8,read,53,14,21
8,received,1695,14,23
8,read,1695,14,23
8,received,234,14,27
8,read,234,14,27
8,received,1473,15,0
8,read,1473,15,0
8,received,975,15,3
8,read,975,15,3
8,received,1641,15,5
8,read,1641,15,5
8,read,1178,15,
8,received,1080,15,21
8,read,1080,15,21
8,received,452,16,0
8,read,452,16,0
8,received,432,16,3
8,read,432,16,3
8,received,573,16,6
8,read,573,16,6
8,read,1,16,
8,received,1354,16,12
8,read,1354,16,12
8,received,629,16,27
8,read,629,16,27
8,received,852,17,0
8,read,852,17,0
8,received,849,17,5
8,read,849,17,5
8,received,163,17,9
8,read,163,17,9
8,received,38,17,24
8,read,38,17,24
8,received,49,18,0
8,read,49,18,0
8,received,1070,18,3
8,read,1070,18,3
8,received,851,18,5
8,read,851,18,5
8,read,1330,18,
8,received,796,18,20
8,read,796,18,20
8,received,840,18,21
8,read,840,18,21
8,received,1633,18,24
8,read,1633,18,24
8,received,1226,19,3
8,read,1226,19,3
8,received,755,19,6
8,read,755,19,6
8,received,436,19,20
8,read,436,19,20
8,received,3,19,27
8,read,3,19,27
8,received,265,20,0
8,read,265,20,0
8,received,433,20,5
8,read,433,20,5
8,received,1628,20,20
8,read,1628,20,20
8,received,260,20,21
8,read,260,20,21
8,received,634,20,27
8,read,634,20,27
8,received,1004,21,0
8,read,1004,21,0
8,received,1206,21,6
8,read,1206,21,6
8,read,1290,21,
8,received,1639,21,9
8,read,1639,21,9
8,received,619,21,20
8,read,619,21,20
8,received,71,21,21
8,read,71,21,21
8,received,434,21,24
8,read,434,21,24
8,received,1669,22,0
8,read,1669,22,0
8,received,821,22,5
8,read,821,22,5
8,read,149,22,
8,received,704,22,12
