User,Action,Article,Day,Origin
0,read,1617,1,
56,received,1617,1,0
56,read,1617,1,0
56,received,1193,1,15
56,read,1193,1,15
56,received,1098,1,33
56,read,1098,1,33
56,received,212,1,70
56,read,212,1,70
56,received,141,1,75
56,read,141,1,75
95,received,1617,1,0
95,read,1617,1,0
95,received,396,1,16
95,read,396,1,16
95,received,649,1,18
95,read,649,1,18
95,received,182,1,59
95,read,182,1,59
95,received,141,1,75
95,read,141,1,75
87,received,1617,1,0
87,read,1617,1,0
87,received,1193,1,15
87,read,1193,1,15
87,received,480,1,67
87,read,480,1,67
87,received,212,1,70
87,read,212,1,70
96,received,1617,1,0
96,read,1617,1,0
96,received,499,1,14
96,read,499,1,14
96,received,629,1,50
96,read,629,1,50
79,received,1617,1,0
79,read,1617,1,0
79,received,499,1,14
79,read,499,1,14
79,received,396,1,16
79,read,396,1,16
79,received,1098,1,33
79,read,1098,1,33
28,received,1617,1,0
28,read,1617,1,0
28,received,314,1,5
28,read,314,1,5
28,received,2040,1,13
28,read,2040,1,13
28,received,499,1,14
28,read,499,1,14
28,received,1552,1,22
28,read,1552,1,22
28,received,629,1,50
28,read,629,1,50
28,received,212,1,70
28,read,212,1,70
34,received,1617,1,0
34,read,1617,1,0
34,received,2040,1,13
34,read,2040,1,13
34,received,1098,1,33
34,read,1098,1,33
34,received,1527,1,46
34,read,1527,1,46
37,received,1617,1,0
37,read,1617,1,0
37,received,1706,1,6
37,read,1706,1,6
37,received,212,1,70
37,read,212,1,70
37,received,141,1,75
37,read,141,1,75
2,read,630,1,
1,received,630,1,2
1,read,630,1,2
1,received,141,1,75
1,read,141,1,75
47,received,630,1,2
47,read,630,1,2
54,received,630,1,2
54,read,630,1,2
54,received,1706,1,6
54,read,1706,1,6
54,received,649,1,18
54,read,649,1,18
54,received,182,1,59
54,read,182,1,59
54,received,212,1,70
54,read,212,1,70
54,received,1235,3,91
54,read,1235,3,91
40,received,630,1,2
40,read,630,1,2
40,received,1683,1,89
40,read,1683,1,89
24,received,630,1,2
24,read,630,1,2
24,received,1193,1,15
24,read,1193,1,15
24,received,646,1,61
24,read,646,1,61
86,received,630,1,2
86,read,630,1,2
86,received,629,1,50
86,read,629,1,50
21,received,630,1,2
21,read,630,1,2
21,received,1552,1,22
21,read,1552,1,22
21,received,887,2,43
21,read,887,2,43
74,received,630,1,2
74,read,630,1,2
74,received,78,1,3
74,read,78,1,3
74,received,2040,1,13
74,read,2040,1,13
74,received,396,1,16
74,read,396,1,16
74,received,1561,1,29
74,read,1561,1,29
74,received,629,1,50
74,read,629,1,50
74,received,212,1,70
74,read,212,1,70
94,received,630,1,2
94,read,630,1,2
94,received,1706,1,6
94,read,1706,1,6
3,read,78,1,
20,received,78,1,3
20,read,78,1,3
20,received,375,1,8
20,read,375,1,8
20,received,1527,1,46
20,read,1527,1,46
20,received,646,1,61
20,read,646,1,61
20,received,212,1,70
20,read,212,1,70
20,received,904,2,4
20,read,904,2,4
20,received,1235,3,91
20,read,1235,3,91
88,received,78,1,3
88,read,78,1,3
88,received,499,1,14
88,read,499,1,14
88,received,480,1,67
88,read,480,1,67
88,received,141,1,75
88,read,141,1,75
88,received,887,2,43
88,read,887,2,43
72,received,78,1,3
72,read,78,1,3
72,received,375,1,8
72,read,375,1,8
72,received,646,1,61
72,read,646,1,61
72,received,141,1,75
72,read,141,1,75
76,received,78,1,3
76,read,78,1,3
76,received,499,1,14
76,read,499,1,14
23,received,78,1,3
23,read,78,1,3
23,received,375,1,8
23,read,375,1,8
23,received,649,1,18
23,read,649,1,18
90,received,78,1,3
90,read,78,1,3
90,received,2040,1,13
90,read,2040,1,13
90,received,396,1,16
90,read,396,1,16
90,received,1527,1,46
90,read,1527,1,46
90,received,182,1,59
90,read,182,1,59
90,received,1235,3,91
90,read,1235,3,91
5,read,314,1,
83,received,314,1,5
83,read,314,1,5
83,received,396,1,16
83,read,396,1,16
83,received,1561,1,29
83,read,1561,1,29
83,received,1527,1,46
83,read,1527,1,46
31,received,314,1,5
31,read,314,1,5
31,received,1706,1,6
31,read,1706,1,6
31,received,1552,1,22
31,read,1552,1,22
84,received,314,1,5
84,read,314,1,5
97,received,314,1,5
97,read,314,1,5
