User,Action,Article,Day,Origin
1,read,1225,1,
0,received,1225,1,1
0,read,1225,1,1
0,received,1039,2,12
0,read,1039,2,12
8,received,1225,1,1
8,read,1225,1,1
8,received,1867,1,45
8,read,1867,1,45
20,received,1225,1,1
20,read,1225,1,1
20,received,80,1,7
20,read,80,1,7
20,received,974,1,56
20,read,974,1,56
84,received,1225,1,1
84,read,1225,1,1
84,received,217,1,42
84,read,217,1,42
18,received,1225,1,1
18,read,1225,1,1
26,received,1225,1,1
26,read,1225,1,1
26,received,1958,1,28
26,read,1958,1,28
26,received,974,1,56
26,read,974,1,56
29,received,1225,1,1
29,read,1225,1,1
44,received,1225,1,1
44,read,1225,1,1
61,received,1225,1,1
61,read,1225,1,1
61,received,1958,1,28
61,read,1958,1,28
61,received,1867,1,45
61,read,1867,1,45
70,received,1225,1,1
70,read,1225,1,1
70,received,1766,1,94
70,read,1766,1,94
70,received,750,3,33
70,read,750,3,33
70,received,1889,3,62
70,read,1889,3,62
73,received,1225,1,1
73,read,1225,1,1
73,received,537,1,80
73,read,537,1,80
73,received,750,3,33
73,read,750,3,33
97,received,1225,1,1
97,read,1225,1,1
97,received,80,1,7
97,read,80,1,7
97,received,985,1,9
97,read,985,1,9
97,received,1342,1,19
97,read,1342,1,19
97,received,1958,1,28
97,read,1958,1,28
97,received,1479,1,90
97,read,1479,1,90
3,read,1889,1,
95,received,1889,1,3
95,read,1889,1,3
95,received,1479,1,90
95,read,1479,1,90
38,received,1889,1,3
38,read,1889,1,3
13,received,1889,1,3
13,read,1889,1,3
13,received,904,1,15
13,read,904,1,15
13,received,974,1,56
13,read,974,1,56
27,received,1889,1,3
27,read,1889,1,3
27,received,1479,1,90
27,read,1479,1,90
92,received,1889,1,3
92,read,1889,1,3
92,received,283,1,14
92,read,283,1,14
92,received,1744,1,50
92,read,1744,1,50
92,received,1012,1,71
92,read,1012,1,71
92,received,648,3,40
92,read,648,3,40
10,received,1889,1,3
10,read,1889,1,3
10,received,80,1,7
10,read,80,1,7
10,received,1039,2,12
10,read,1039,2,12
34,received,1889,1,3
34,read,1889,1,3
34,received,974,1,56
34,read,974,1,56
58,received,1889,1,3
58,read,1889,1,3
7,read,80,1,
79,received,80,1,7
79,read,80,1,7
79,received,985,1,9
79,read,985,1,9
79,received,974,1,56
79,read,974,1,56
79,received,1012,1,71
79,read,1012,1,71
79,received,648,3,40
79,read,648,3,40
96,received,80,1,7
96,read,80,1,7
96,received,1477,1,43
96,read,1477,1,43
96,received,1744,1,50
96,read,1744,1,50
54,received,80,1,7
54,read,80,1,7
11,received,80,1,7
11,read,80,1,7
11,received,904,1,15
11,read,904,1,15
35,received,80,1,7
35,read,80,1,7
35,received,537,1,80
35,read,537,1,80
53,received,80,1,7
53,read,80,1,7
53,received,1477,1,43
53,read,1477,1,43
77,received,80,1,7
77,read,80,1,7
77,received,985,1,9
77,read,985,1,9
77,received,904,1,15
77,read,904,1,15
77,received,913,1,17
77,read,913,1,17
9,read,985,1,
59,received,985,1,9
59,read,985,1,9
59,received,1744,1,50
59,read,1744,1,50
37,received,985,1,9
37,read,985,1,9
37,received,913,1,17
37,read,913,1,17
37,received,1039,2,12
37,read,1039,2,12
24,received,985,1,9
24,read,985,1,9
24,received,913,1,17
24,read,913,1,17
24,received,1012,1,71
24,read,1012,1,71
63,received,985,1,9
63,read,985,1,9
63,received,283,1,14
63,read,283,1,14
63,received,1012,1,71
63,read,1012,1,71
63,received,1039,2,12
63,read,1039,2,12
25,received,985,1,9
25,read,985,1,9
25,received,913,1,17
25,read,913,1,17
25,received,1342,1,19
25,read,1342,1,19
25,received,537,1,80
25,read,537,1,80
85,received,985,1,9
85,read,985,1,9
85,received,1867,1,45
85,read,1867,1,45
86,received,985,1,9
86,read,985,1,9
86,received,904,1,15
86,read,904,1,15
87,received,985,1,9
87,read,985,1,9
87,received,283,1,14
87,read,283,1,14
87,received,904,1,15
87,read,904,1,15
14,read,283,1,
60,received,283,1,14
60,read,283,1,14
60,received,217,1,42
60,read,217,1,42
60,received,1479,1,90
60,read,1479,1,90
60,received,1766,1,94
60,read,1766,1,94
36,received,283,1,14
36,read,283,1,14
16,received,283,1,14
16,read,283,1,14
16,received,1477,1,43
16,read,1477,1,43
16,received,1744,1,50
16,read,1744,1,50
15,read,904,1,
2,received,904,1,15
2,read,904,1,15
5,received,904,1,15
5,read,904,1,15
57,received,904,1,15
57,read,904,1,15
57,received,2037,1,74
57,read,2037,1,74
66,received,904,1,15
66,read,904,1,15
66,received,2037,1,74
66,read,2037,1,74
66,received,1766,1,94
66,read,1766,1,94
66,received,1889,3,62
66,read,1889,3,62
68,received,904,1,15
68,read,904,1,15
68,received,1477,1,43
68,read,1477,1,43
17,read,913,1,
4,received,913,1,17
4,read,913,1,17
46,received,913,1,17
46,read,913,1,17
46,received,1867,1,45
46,read,1867,1,45
46,received,1012,1,71
46,read,1012,1,71
30,received,913,1,17
30,read,913,1,17
30,received,1477,1,43
30,read,1477,1,43
30,received,1766,1,94
30,read,1766,1,94
41,received,913,1,17
41,read,913,1,17
41,received,1958,1,28
41,read,1958,1,28
41,received,1012,1,71
41,read,1012,1,71
41,received,1766,1,94
41,read,1766,1,94
51,received,913,1,17
51,read,913,1,17
51,received,974,1,56
51,read,974,1,56
55,received,913,1,17
55,read,913,1,17
55,received,1342,1,19
55,read,1342,1,19
55,received,1744,1,50
55,read,1744,1,50
55,received,750,3,33
55,read,750,3,33
55,received,1889,3,62
55,read,1889,3,62
64,received,913,1,17
64,read,913,1,17
72,received,913,1,17
72,read,913,1,17
72,received,1958,1,28
72,read,1958,1,28
72,received,648,3,40
72,read,648,3,40
19,read,1342,1,
31,received,1342,1,19
31,read,1342,1,19
31,received,1766,1,94
31,read,1766,1,94
31,received,1039,2,12
31,read,1039,2,12
31,received,1889,3,62
31,read,1889,3,62
48,received,1342,1,19
48,read,1342,1,19
48,received,217,1,42
48,read,217,1,42
49,received,1342,1,19
49,read,1342,1,19
49,received,1958,1,28
49,read,1958,1,28
49,received,1744,1,50
49,read,1744,1,50
49,received,537,1,80
49,read,537,1,80
49,received,1479,1,90
49,read,1479,1,90
76,received,1342,1,19
76,read,1342,1,19
76,received,750,3,33
76,read,750,3,33
76,received,648,3,40
76,read,648,3,40
76,received,1889,3,62
76,read,1889,3,62
28,read,1958,1,
28,received,1867,1,45
28,read,1867,1,45
28,received,1479,1,90
28,read,1479,1,90
21,received,1958,1,28
21,read,1958,1,28
93,received,1958,1,28
93,read,1958,1,28
93,received,217,1,42
93,read,217,1,42
93,received,537,1,80
93,read,537,1,80
93,received,1889,3,62
93,read,1889,3,62
83,received,1958,1,28
83,read,1958,1,28
83,received,648,3,40
83,read,648,3,40
39,received,1958,1,28
39,read,1958,1,28
39,received,750,3,33
39,read,750,3,33
42,read,217,1,
82,received,217,1,42
82,read,217,1,42
82,received,2037,1,74
82,read,2037,1,74
32,received,217,1,42
32,read,217,1,42
32,received,1744,1,50
32,read,1744,1,50
32,received,537,1,80
